15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
------------------------------------------------------------------------------------------------------
| Y4224765|       1000.000 |UN |Y4224763  |HALB|X  |        28.000 |M  |0|1000 |      442.20 |     |
| Y4224765|       1000.000 |UN |Y4224763  |HALB|   |        44.000 |M  |0|1000 |      442.20 |     |
| Y4191054|         500.000 |M  |Y3857408  |ZRAW|   |       117.500 |M  |0|1000 |    4575.38 |     |
| Y3476331|       1000.000 |UN |Y3252080  |HALB|   |        73.025 |M  |0|1000 |      174.90 |     |
| Y3476331|       1000.000 |UN |Y3252080  |HALB|X  |        50.000 |M  |0|1000 |      174.90 |     |
| Y3782598|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3782598|       1000.000 |UN |Y2278238  |HALB|   |         2.833 |M  |0|    1 |        2.05 |     |
| Y3782600|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3782600|       1000.000 |UN |Y2278238  |HALB|   |         2.833 |M  |0|    1 |        2.05 |     |
| Y3782622|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3782622|       1000.000 |UN |Y2278238  |HALB|   |         2.833 |M  |0|    1 |        2.05 |     |
| Y3823363|       1000.000 |UN |Y2278694  |HALB|X  |        28.000 |M  |0|    1 |        1.17 |     |
| Y3823363|       1000.000 |UN |Y2278694  |HALB|   |        69.333 |M  |0|    1 |        1.17 |     |
| Y3823363|       1000.000 |UN |Y2278578  |HALB|X  |        28.000 |M  |0|1000 |      472.14 |     |
| Y3823363|       1000.000 |UN |Y2278578  |HALB|   |        69.333 |M  |0|1000 |      472.14 |     |
| Y4155178|       1000.000 |UN |Y2303620  |HALB|X  |       105.000 |M  |2|1000 |    1152.11 |     |
| Y4155178|       1000.000 |UN |Y2303620  |HALB|   |        19.050 |M  |2|1000 |    1152.11 |     |
| Y3798975|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3798975|       1000.000 |UN |Y2278238  |HALB|   |        20.000 |M  |0|    1 |        2.05 |     |
| Y3799025|       1000.000 |UN |Y2278381  |HALB|X  |        45.000 |M  |0|1000 |    1113.22 |     |
| Y3799025|       1000.000 |UN |Y2278381  |HALB|   |        17.340 |M  |0|1000 |    1113.22 |     |
| Y3799102|       1000.000 |UN |Y2303644  |HALB|X  |        45.000 |M  |0|1000 |      728.17 |     |
| Y3799102|       1000.000 |UN |Y2303644  |HALB|   |        11.864 |M  |0|1000 |      728.17 |     |
| Y3799126|       1000.000 |UN |Y2278431  |HALB|X  |        45.000 |M  |0|    1 |        0.45 |     |
| Y3799126|       1000.000 |UN |Y2278431  |HALB|   |        18.785 |M  |0|    1 |        0.45 |     |
| Y4153662|         500.000 |M  |Y4026315  |ZRAW|   |        57.500 |M  |3|    1 |        4.11 |     |
| Y4151684|         250.000 |M  |Y4000533  |ZRAW|   |        53.125 |M  |0|    1 |       18.85 |     |
| Y3290419|       1000.000 |UN |Y2278525  |HALB|X  |        60.000 |M  |0|1000 |      230.61 |     |
| Y3290419|       1000.000 |UN |Y2278525  |HALB|   |        52.917 |M  |0|1000 |      230.61 |     |
| Y3958071|         500.000 |M  |Y2279133  |ZRAW|   |        87.500 |M  |0|    1 |        6.60 |     |
| Y3958073|         500.000 |M  |Y2279133  |ZRAW|   |        62.500 |M  |0|    1 |        6.60 |     |
| Y3412653|       1000.000 |UN |Y2305804  |HALB|X  |        30.000 |M  |0|1000 |    1334.22 |     |
| Y3412653|       1000.000 |UN |Y2305804  |HALB|   |         5.667 |M  |0|1000 |    1334.22 |     |
| Y3412653|       1000.000 |UN |Y2278238  |HALB|X  |        30.000 |M  |0|    1 |        2.05 |     |
| Y3412653|       1000.000 |UN |Y2278238  |HALB|   |         5.667 |M  |0|    1 |        2.05 |     |
| Y4151680|       1000.000 |UN |Y3955254  |HALB|X  |        35.000 |M  |2|    1 |        0.79 |     |
| Y4151680|       1000.000 |UN |Y3955254  |HALB|   |        32.750 |M  |2|    1 |        0.79 |     |
| Y4151680|       1000.000 |UN |Y3955554  |HALB|X  |        35.000 |M  |0|    1 |        1.80 |     |
| Y4151680|       1000.000 |UN |Y3955554  |HALB|   |        32.750 |M  |0|    1 |        1.80 |     |
| Y4165051|       1000.000 |M  |Y2278487  |ZRAW|   |       245.000 |M  |5|    1 |        2.46 |     |
| Y4165163|       1000.000 |M  |Y2278439  |ZRAW|   |       160.000 |M  |5|    1 |        2.94 |     |
| Y4165030|       1000.000 |UN |Y4165051  |HALB|X  |        28.000 |M  |0|1000 |      562.18 |     |
| Y4165030|       1000.000 |UN |Y4165051  |HALB|   |        57.666 |M  |0|1000 |      562.18 |     |
| Y4165030|       1000.000 |UN |Y4165163  |HALB|X  |        28.000 |M  |0|    1 |        0.48 |     |
| Y4165030|       1000.000 |UN |Y4165163  |HALB|   |        57.666 |M  |0|    1 |        0.48 |     |
| Y4165175|       1000.000 |UN |Y3956698  |HALB|X  |        50.000 |M  |0|    1 |        2.37 |     |
| Y4165175|       1000.000 |UN |Y3956698  |HALB|   |        16.328 |M  |0|    1 |        2.37 |     |
| Y4165175|       1000.000 |UN |Y3957038  |HALB|X  |        50.000 |M  |0|    1 |        0.51 |     |
| Y4165175|       1000.000 |UN |Y3957038  |HALB|   |        16.328 |M  |0|    1 |        0.51 |     |
